Date,Open,High,Low,Close,Volume
2024-01-01,99.78173924135285,101.20692709327027,98.7399596941912,99.68814242437229,3019
2024-01-02,100.3077006178903,100.31044383301813,98.41377514470244,99.48584733628782,4609
2024-01-03,100.33733364485813,101.26150567736325,98.50991304217139,101.21737032075205,4399
2024-01-04,100.00219406185781,102.11971741053527,98.3502800080444,100.12856609491203,1020
2024-01-05,99.68534508837953,100.11442605456054,98.15617985781371,99.10175099059069,3759
2024-01-08,98.72049620599616,100.53676125821944,98.92476644556896,99.57705173210934,4046
2024-01-09,99.472710998363,99.27688301542891,99.1594484061764,99.47854403914948,3050
2024-01-10,98.83974321320736,99.25394685765234,97.05295401238388,97.71605452767511,4374
2024-01-11,97.31950913008032,99.77985646573539,97.58172867365029,97.23004266739807,4774
2024-01-12,98.87596498001105,100.20659962262256,98.26362399053556,99.15659091882159,2796
2024-01-15,98.34601328997638,99.47145420401998,97.0868815207939,98.96678462986141,4311
2024-01-16,99.6349984160647,101.19796391701132,98.55558983110996,99.79899229918225,3835
2024-01-17,98.69144408930187,100.88910017637073,98.10032094600182,99.43297085861735,2443
2024-01-18,99.37536683776834,99.302333648894,97.1530334098056,98.62119760962665,3009
2024-01-19,97.45498632379478,100.37441900273345,97.25705344574433,97.2231257742924,4129
2024-01-22,97.44539258284371,99.41886586615672,97.64426378051564,98.7694197898391,4853
2024-01-23,98.71504280724028,99.91138367218262,97.11613640293231,98.23998773658849,2863
2024-01-24,98.76403695632544,100.66128817694451,98.15156817558008,98.97971525427673,3882
2024-01-25,98.19138397272347,98.42069560887064,96.29216098388972,97.84660354179054,2930
2024-01-26,98.54527153459496,98.84355171074688,97.86596232410093,97.12293979569898,2186
2024-01-29,97.47999221017344,98.56932325330767,95.82334931683147,96.99955096924258,1238
2024-01-30,96.6740875476175,99.20671043086762,96.03287602049159,96.75331246986369,3299
2024-01-31,96.83941842311812,99.6968810610088,96.42137006733152,97.76101611670589,4219
2024-02-01,97.46016076406602,99.18084773049068,97.11159142743116,97.12175380971729,3147
2024-02-02,96.82148072664202,98.13217368597167,95.57257728574663,97.70050648011735,4772
2024-02-05,96.30103486425348,97.69214965330184,96.55948407699641,96.3777226439366,1707
2024-02-06,96.96019758784408,97.20696980345768,95.21173257139668,96.65532942203444,2763
2024-02-07,96.4179393729123,98.76427821998868,95.20707358194466,97.40218390838751,1295
2024-02-08,96.36741867017003,97.2696824199287,94.75437082748704,96.05988714741773,2344
2024-02-09,97.39655061647812,96.54708720700069,95.05673619963001,96.46728526034816,1936
2024-02-12,95.89861744299351,98.33950294138454,95.21896482489696,96.68088127719628,3260
2024-02-13,96.87240210616496,98.39610968424918,95.76658457182837,96.40978885131136,2061
